app_name,count,mean,positive_rate,weighted_score
KRUM - Edge Of Darkness,31,-0.22580645161290322,0.3870967741935484,0.4268718539415568
KRUNCH,31,0.22580645161290322,0.6129032258064516,0.5731281460584432
KWAAN,83,0.5421686746987951,0.7710843373493976,0.6996612464758931
Kaboom Monsters,11,-0.09090909090909091,0.45454545454545453,0.4760589705203848
Kaiju Panic,17,0.5294117647058824,0.7647058823529411,0.6538167678071323
Kaiju-A-GoGo,165,0.4303030303030303,0.7151515151515152,0.6689745612744185
Kairo,843,0.49940688018979834,0.7497034400948992,0.716855535432971
Kalimba,36,0.7222222222222222,0.8611111111111112,0.7393341609043463
Kane & Lynch 2: Dog Days,1150,0.17391304347826086,0.5869565217391305,0.5765375066198244
Kane & Lynch: Dead Men,529,0.020793950850661626,0.5103969754253308,0.5088236510751519
Kanji Training Game,49,0.46938775510204084,0.7346938775510204,0.6624067733677369
Kaptain Brawe,62,0.3548387096774194,0.6774193548387096,0.6264457300464458
Karaski: What Goes Up...,25,0.76,0.88,0.7374936634116127
Karate Master 2 Knock Down Blow,228,0.6140350877192983,0.8070175438596491,0.7472064248129696
Karateka ,82,0.34146341463414637,0.6707317073170732,0.6255862441013154
Karma,21,-0.6190476190476191,0.19047619047619047,0.3125393390193841
Karma Miwa,13,0.6923076923076923,0.8461538461538461,0.6897489861525044
Karma. Incarnation 1,40,0.85,0.925,0.7860391017799886
Karmaflow: The Rock Opera Videogame,115,0.3217391304347826,0.6608695652173913,0.6224094918385088
Karos,29,-0.7241379310344828,0.13793103448275862,0.2679879638887701
Karos Returns,61,-0.3442622950819672,0.32786885245901637,0.3775619194365267
Kathy Rain,272,0.8823529411764706,0.9411764705882353,0.8596583213669831
Ke-Tsu-No-Ana,1,-1.0,,
Keebles,19,0.8947368421052632,0.9473684210526315,0.7658100528329931
Keen Dreams,62,0.7419354838709677,0.8709677419354839,0.7643865264607503
Keep Talking and Nobody Explodes,118,1.0,1.0,0.8813772162403136
KeeperRL,213,0.7746478873239436,0.8873239436619719,0.8103134518339468
Kelvin and the Infamous Machine,45,0.9111111111111111,0.9555555555555556,0.8116752457032097
Kenshi,2297,0.7004788855028298,0.8502394427514149,0.8161595774179456
Kentucky Route Zero,1250,0.688,0.844,0.8038032363690752
Kerbal Space Program,26544,0.95042194092827,0.9752109704641351,0.9530731451568291
Kero Blaster,156,0.9358974358974359,0.967948717948718,0.8658155979898093
Khaba,13,0.6923076923076923,0.8461538461538461,0.6897489861525044
Khan: Absolute Power,72,0.1111111111111111,0.5555555555555556,0.5402865264693164
Khet 2.0,67,0.8507462686567164,0.9253731343283582,0.805938603666312
Khimera: Destroy All Monster Girls,240,0.9333333333333333,0.9666666666666667,0.8771408686422523
Kiai Resonance,51,0.6862745098039216,0.8431372549019608,0.7386894316472763
Kick Ass Commandos,141,0.9716312056737588,0.9858156028368794,0.8765287026373836
Kick-Ass 2,73,-0.8082191780821918,0.0958904109589041,0.20650294439057576
KickBeat Steam Edition,419,0.2315035799522673,0.6157517899761337,0.5969650686571728
Kidnapped,176,0.045454545454545456,0.5227272727272727,0.5179427354689158
Kill Fun Yeah,62,-0.06451612903225806,0.46774193548387094,0.47700986726428257
Kill The Bad Guy,10,0.4,0.7,0.602828353817084
Kill The Plumber,52,0.3076923076923077,0.6538461538461539,0.6072845548954057
Kill to Collect,81,0.6296296296296297,0.8148148148148148,0.7312660976704052
Killbot,12,-0.6666666666666666,0.16666666666666666,0.3206764758466508
Killer is Dead,1274,0.5243328100470958,0.7621664050235479,0.7317067260828599
Killing Floor,22017,0.9228777762637962,0.961438888131898,0.9386979807379476
Killing Floor - Toy Master,7,1.0,1.0,0.7326299055525074
Killing Floor 2,21788,0.6031760602166331,0.8015880301083165,0.7866781364716964
Kim,27,0.8518518518518519,0.9259259259259259,0.7697205054276035
Kinacoustic,8,1.0,1.0,0.7419437476723167
Kindred Spirits on the Roof,248,0.9516129032258065,0.9758064516129032,0.8854201851875276
Kinetic Void,983,-0.47711088504577825,0.2614445574771109,0.29140912595136853
King Arthur - Fallen Champions,13,-0.07692307692307693,0.46153846153846156,0.47891677931638843
King Arthur - The Role-playing Wargame,199,0.5879396984924623,0.7939698492462312,0.7343180235660277
King Arthur II - The Role-playing Wargame,161,0.018633540372670808,0.5093167701863354,0.507302419467902
King Arthur's Gold,1991,0.6614766449020593,0.8307383224510296,0.7971414024434349
King Kaiju,31,0.9354838709677419,0.967741935483871,0.8029594622421219
King Oddball,7,1.0,1.0,0.7326299055525074
King of Booze: Drinking Game,3,1.0,1.0,0.6705937099936721
King of Dragon Pass,118,0.559322033898305,0.7796610169491526,0.7133126802700059
King of Spin VR,9,0.3333333333333333,0.6666666666666666,0.5833333333333333
King's Bounty: Armored Princess,160,0.825,0.9125,0.8231482281530711
King's Bounty: Crossworlds,165,0.8909090909090909,0.9454545454545454,0.8498487395399932
King's Bounty: Dark Side,208,0.0673076923076923,0.5336538461538461,0.5269147589124279
King's Bounty: The Legend,424,0.7971698113207547,0.8985849056603774,0.83412392031686
King's Bounty: Warriors of the North,211,0.6113744075829384,0.8056872037914692,0.7447362669619088
King's Guard TD,22,0.2727272727272727,0.6363636363636364,0.5833023652771827
King's Quest,1098,0.7504553734061931,0.8752276867030966,0.8296383415784923
King's Quest Collection,88,0.5454545454545454,0.7727272727272727,0.7021111766741739
Kingdom Elemental,15,-0.06666666666666667,0.4666666666666667,0.48113446718609776
